scenario,start_time,end_time,start_time_readable,end_time_readable,escooter_clicks,bike_clicks,pedestrian_clicks,duration(s),video_start_time (s),video_end_time (s)
2,1659386790,1659386804,2022-08-01 16:46:30,2022-08-01 16:46:44,2,0,0,14,256,270
3,1659386826,1659386841,2022-08-01 16:47:06,2022-08-01 16:47:21,3,3,0,15,292,307
4,1659386966,1659386980,2022-08-01 16:49:26,2022-08-01 16:49:40,0,1,0,14,432,446
6,1659387045,1659387073,2022-08-01 16:50:45,2022-08-01 16:51:13,0,13,0,28,511,539
7,1659387091,1659387105,2022-08-01 16:51:31,2022-08-01 16:51:45,13,0,0,14,557,571
8,1659387147,1659387161,2022-08-01 16:52:27,2022-08-01 16:52:41,0,1,0,14,613,627
9,1659387309,1659387345,2022-08-01 16:55:09,2022-08-01 16:55:45,2,6,0,36,775,811
10,1659387362,1659387376,2022-08-01 16:56:02,2022-08-01 16:56:16,0,1,0,14,828,842
12,1659387409,1659387459,2022-08-01 16:56:49,2022-08-01 16:57:39,0,9,0,50,875,925
13,1659387507,1659387521,2022-08-01 16:58:27,2022-08-01 16:58:41,0,2,0,14,973,987
14,1659387545,1659387559,2022-08-01 16:59:05,2022-08-01 16:59:19,0,1,0,14,1011,1025
17,1659387654,1659387668,2022-08-01 17:00:54,2022-08-01 17:01:08,0,2,0,14,1120,1134
18,1659387682,1659387703,2022-08-01 17:01:22,2022-08-01 17:01:43,0,2,0,21,1148,1169
19,1659387718,1659387732,2022-08-01 17:01:58,2022-08-01 17:02:12,0,2,0,14,1184,1198
20,1659387773,1659387787,2022-08-01 17:02:53,2022-08-01 17:03:07,0,1,0,14,1239,1253
21,1659387812,1659387826,2022-08-01 17:03:32,2022-08-01 17:03:46,0,1,0,14,1278,1292
23,1659388314,1659388329,2022-08-01 17:11:54,2022-08-01 17:12:09,2,1,0,15,1780,1795
24,1659388373,1659388387,2022-08-01 17:12:53,2022-08-01 17:13:07,0,1,0,14,1839,1853
25,1659388395,1659388410,2022-08-01 17:13:15,2022-08-01 17:13:30,2,0,0,15,1861,1876
26,1659388445,1659388459,2022-08-01 17:14:05,2022-08-01 17:14:19,0,1,0,14,1911,1925
27,1659388459,1659388506,2022-08-01 17:14:19,2022-08-01 17:15:06,0,5,0,47,1925,1972
28,1659388514,1659388554,2022-08-01 17:15:14,2022-08-01 17:15:54,0,6,0,40,1980,2020
30,1659388603,1659388618,2022-08-01 17:16:43,2022-08-01 17:16:58,0,2,0,15,2069,2084
33,1659389530,1659389544,2022-08-01 17:32:10,2022-08-01 17:32:24,0,2,0,14,2996,3010
34,1659389583,1659389597,2022-08-01 17:33:03,2022-08-01 17:33:17,0,2,0,14,3049,3063
35,1659389621,1659389636,2022-08-01 17:33:41,2022-08-01 17:33:56,0,2,0,15,3087,3102
37,1659389744,1659389758,2022-08-01 17:35:44,2022-08-01 17:35:58,0,1,0,14,3210,3224
38,1659389782,1659389796,2022-08-01 17:36:22,2022-08-01 17:36:36,0,2,0,14,3248,3262
39,1659389838,1659389852,2022-08-01 17:37:18,2022-08-01 17:37:32,0,1,0,14,3304,3318
40,1659389943,1659389958,2022-08-01 17:39:03,2022-08-01 17:39:18,2,0,0,15,3409,3424
41,1659389990,1659390004,2022-08-01 17:39:50,2022-08-01 17:40:04,0,1,0,14,3456,3470
43,1659390028,1659390042,2022-08-01 17:40:28,2022-08-01 17:40:42,0,2,0,14,3494,3508
44,1659390081,1659390095,2022-08-01 17:41:21,2022-08-01 17:41:35,0,1,0,14,3547,3561
45,1659390102,1659390135,2022-08-01 17:41:42,2022-08-01 17:42:15,0,4,0,33,3568,3601
46,1659390168,1659390182,2022-08-01 17:42:48,2022-08-01 17:43:02,0,1,0,14,3634,3648
47,1659390204,1659390219,2022-08-01 17:43:24,2022-08-01 17:43:39,0,2,0,15,3670,3685
