scenario,duration(s),folder
1,42,20-05-22_21-41-16
2,41,20-05-22_21-41-16
3,129,20-05-22_21-41-16
4,41,20-05-22_21-41-16
5,40,20-05-22_21-41-16
6,41,20-05-22_21-41-16
7,41,20-05-22_21-41-16
8,41,20-05-22_21-41-16
9,40,20-05-22_21-41-16
10,42,20-05-22_21-41-16
11,69,20-05-22_21-41-16
12,77,20-05-22_21-41-16
13,103,20-05-22_21-41-16
14,76,20-05-22_21-41-16
15,41,20-05-22_21-41-16
16,40,20-05-22_21-41-16
17,73,20-05-22_21-41-16
18,125,20-05-22_21-41-16
19,96,20-05-22_21-41-16
20,41,20-05-22_21-41-16
21,41,20-05-22_21-41-16
22,40,20-05-22_21-41-16
23,80,20-05-22_21-41-16
24,162,20-05-22_21-41-16
25,40,20-05-22_21-41-16
26,94,20-05-22_21-41-16
27,42,20-05-22_21-41-16
28,40,20-05-22_21-41-16
29,73,20-05-22_21-41-16
30,49,20-05-22_21-41-16
31,40,20-05-22_21-41-16
32,42,20-05-22_21-41-16
33,40,20-05-22_21-41-16
34,106,20-05-22_21-41-16
35,42,20-05-22_21-41-16
36,87,20-05-22_21-41-16
37,41,20-05-22_21-41-16
38,40,20-05-22_21-41-16
39,41,20-05-22_21-41-16
40,40,20-05-22_21-41-16
41,41,20-05-22_21-41-16
42,40,20-05-22_21-41-16
43,76,20-05-22_21-41-16
44,50,20-05-22_21-41-16
45,40,20-05-22_21-41-16
46,125,20-05-22_21-41-16
47,41,20-05-22_21-41-16
48,46,20-05-22_21-41-16
49,46,20-05-22_21-41-16
50,80,20-05-22_21-41-16
51,41,20-05-22_21-41-16
52,41,20-05-22_21-41-16
1,40,31-07-22_18-21-03
2,41,31-07-22_18-21-03
3,40,31-07-22_18-21-03
4,79,31-07-22_18-21-03
5,74,31-07-22_18-21-03
6,41,31-07-22_18-21-03
7,40,31-07-22_18-21-03
8,40,31-07-22_18-21-03
1,40,30-07-22_15-27-36
1,40,28-07-22_11-24-22
1,40,17-05-22_12-02-36
2,61,17-05-22_12-02-36
3,41,17-05-22_12-02-36
4,121,17-05-22_12-02-36
5,40,17-05-22_12-02-36
6,40,17-05-22_12-02-36
7,50,17-05-22_12-02-36
8,40,17-05-22_12-02-36
9,40,17-05-22_12-02-36
10,40,17-05-22_12-02-36
11,40,17-05-22_12-02-36
12,40,17-05-22_12-02-36
1,41,29-07-22_19-31-35
2,79,29-07-22_19-31-35
3,53,29-07-22_19-31-35
4,41,29-07-22_19-31-35
5,94,29-07-22_19-31-35
6,48,29-07-22_19-31-35
1,40,02-08-22_18-00-46
2,47,02-08-22_18-00-46
3,41,02-08-22_18-00-46
4,40,02-08-22_18-00-46
5,53,02-08-22_18-00-46
6,40,02-08-22_18-00-46
7,76,02-08-22_18-00-46
8,40,02-08-22_18-00-46
1,40,28-07-22_19-45-39
2,40,28-07-22_19-45-39
3,40,28-07-22_19-45-39
4,40,28-07-22_19-45-39
5,40,28-07-22_19-45-39
6,41,28-07-22_19-45-39
7,83,28-07-22_19-45-39
8,40,28-07-22_19-45-39
9,40,28-07-22_19-45-39
1,45,20-07-22_21-25-03
2,40,20-07-22_21-25-03
1,40,21-07-22_17-04-29
2,43,21-07-22_17-04-29
3,48,21-07-22_17-04-29
4,40,21-07-22_17-04-29
5,40,21-07-22_17-04-29
6,87,21-07-22_17-04-29
7,99,21-07-22_17-04-29
8,57,21-07-22_17-04-29
9,40,21-07-22_17-04-29
10,42,21-07-22_17-04-29
11,40,21-07-22_17-04-29
12,69,21-07-22_17-04-29
13,72,21-07-22_17-04-29
14,40,21-07-22_17-04-29
15,60,21-07-22_17-04-29
16,79,21-07-22_17-04-29
17,66,21-07-22_17-04-29
18,40,21-07-22_17-04-29
19,41,21-07-22_17-04-29
20,41,21-07-22_17-04-29
1,40,18-08-22_17-39-36
2,40,18-08-22_17-39-36
