Subfolder,Duration from lidar(minutes),Duration of synced frames(minutes),Total_synced_frames
01-08-22_12-38-37,6883,69,41124
14-05-22_18-47-48,4886,49,29344
20-07-22_21-00-35,2424,24,14554
01-08-22_09-55-56,6511,65,39099
01-08-22_11-01-10,7170,72,42988
03-08-22_11-33-03,2880,29,17296
04-08-22_18-14-39,878,9,5273
06-08-22_14-56-07,17069,171,102491
11-05-22_17-57-44,162,2,974
11-05-22_18-12-13,6123,61,36696
14-05-22_19-57-37,5455,55,32772
15-05-22_19-01-19,4673,47,28061
15-05-22_21-24-28,7289,73,43776
17-05-22_12-02-36,3602,36,21627
17-05-22_13-46-30,3059,31,18377
18-05-22_08-49-34,8015,80,48143
20-07-22_16-53-09,4579,46,27484
20-07-22_18-08-23,8099,81,48631
20-08-22_14-38-27,6345,64,38106
23-06-22_19-43-49,15618,156,93713
01-08-22_09-23-48,1813,18,10884
01-08-22_19-04-58,3059,31,18336
04-08-22_10-53-54,2024,20,12153
04-08-22_13-12-32,2308,23,13857
20-08-22_17-50-57,6224,62,37369
21-05-22_13-56-29,9124,91,54800
06-08-22_11-40-28,10877,109,65245
11-05-22_21-08-01,6052,61,36356
14-05-22_21-28-10,297,3,1783
21-06-22_19-37-39,8436,84,50674
15-05-22_17-56-47,6436,64,38627
17-05-22_17-24-35,4511,45,27089
19-05-22_14-22-39,1773,18,10649
21-07-22_17-04-29,8287,83,49747
27-07-22_20-24-07,453,5,2722
28-06-22_17-06-53,2802,28,16833
28-07-22_11-16-26,659,7,3955
28-07-22_11-24-22,6144,61,36887
19-05-22_17-17-32,10860,109,65226
28-07-22_18-38-48,6030,60,36201
01-08-22_20-20-52,4184,42,25113
21-06-22_23-38-34,257,3,1547
29-07-22_13-01-53,7759,78,46581
29-06-22_18-22-34,4584,46,27534
29-07-22_16-48-16,7266,73,43618
23-06-22_22-38-28,7266,73,43642
19-05-22_19-32-43,12692,127,76215
29-07-22_19-58-21,4920,49,29550
19-08-22_19-44-25,200,2,1200
05-08-22_12-24-16,6114,61,36700
20-05-22_17-10-08,4755,48,28542
30-07-22_13-15-17,6767,68,40624
30-07-22_17-00-36,3003,30,18031
30-07-22_18-59-13,3494,35,20972
31-07-22_17-09-50,7116,71,42735
21-05-22_00-09-27,12072,121,72504
20-07-22_19-36-48,997,10,5989
20-05-22_18-38-12,14577,146,87491
20-05-22_21-41-16,11722,117,70416
20-06-22_22-18-30,45,0,271
28-06-22_17-38-08,14646,147,87982
30-07-22_16-05-44,3204,32,19234
02-08-22_18-00-46,2579,26,15489
20-06-22_22-31-04,5999,60,36047
20-08-22_15-42-01,6357,64,38177
20-07-22_20-05-34,5496,55,32986
20-08-22_14-21-31,1101,11,6612
14-05-22_20-52-14,3549,36,21319
29-07-22_14-19-31,14868,149,89251
11-05-22_18-00-31,1071,11,6424
17-05-22_17-02-09,1569,16,9424
21-05-22_15-31-56,17185,172,103210
21-06-22_21-02-12,5,0,30
21-06-22_22-30-13,27,0,164
27-07-22_20-39-48,10901,109,65451
24-06-22_19-00-57,8228,82,49419
31-07-22_18-21-03,2907,29,17449
24-06-22_23-28-05,2092,21,12573
29-06-22_17-18-58,5857,59,35185
20-08-22_19-13-01,8498,85,51036
24-06-22_21-22-41,11411,114,68534
24-06-22_23-17-11,456,5,2740
24-06-22_23-56-47,1268,13,7615
28-06-22_12-41-55,786,8,4723
28-06-22_13-57-07,4418,44,26536
28-07-22_16-28-54,6245,63,37507
29-06-22_12-37-30,9779,98,58739
19-08-22_19-39-41,422,4,2537
28-07-22_17-31-28,5909,59,35485
28-07-22_19-45-39,5273,53,31652
30-07-22_14-23-04,6446,64,38698
26-06-22_17-08-51,6345,64,38114
21-06-22_19-23-03,332,3,1996
23-06-22_23-53-10,3378,34,20290
28-07-22_13-30-22,6687,67,40161
13-05-22_21-26-18,3854,39,23145
31-07-22_16-43-21,1581,16,9497
19-05-22_10-13-16,1520,15,9131
29-06-22_15-17-14,11683,117,70163
29-07-22_19-00-43,2924,29,17561
29-07-22_19-31-35,2086,21,12517
29-07-22_21-02-27,3490,35,20968
30-07-22_12-12-10,6299,63,37824
30-07-22_15-27-36,2967,30,17820
31-07-22_19-12-07,9499,95,57040
30-07-22_17-55-03,6411,64,38493
22-06-22_20-24-38,7869,79,47267
31-07-22_15-41-45,6093,61,36577
29-07-22_18-01-04,5956,60,35766
20-07-22_21-25-03,447,4,2682
04-08-22_13-54-39,11186,112,67166
21-07-22_18-27-27,4890,49,29369
28-07-22_12-26-54,6283,63,37727
20-08-22_16-45-39,6513,65,39092
30-07-22_19-40-32,6286,63,37750
21-05-22_12-29-03,8735,87,52440
30-07-22_20-43-29,6445,65,38702
29-07-22_11-38-12,8201,82,49248
