Subfolder,Duration from lidar(minutes),Average_lidar_frame_rate,Total_Bags,Number_of_bad_bags(<9.8fps),Number_of_error_bags(Failed to open),Total_time_processing(min)
01-08-22_20-20-52,42,7.45,54,14,12,120
21-06-22_23-38-34,3,1.32,19,15,15,8
29-06-22_18-22-34,46,10.0,46,0,0,133
23-06-22_22-38-28,73,10.0,73,0,0,205
05-08-22_12-24-16,61,10.0,62,0,0,187
14-05-22_18-47-48,47,9.78,49,1,1,139
21-05-22_00-09-27,121,10.0,121,0,0,339
20-07-22_19-36-48,10,10.0,10,0,0,30
28-06-22_17-38-08,146,10.0,147,0,0,455
30-07-22_16-05-44,32,10.0,33,0,0,102
02-08-22_18-00-46,26,9.59,27,1,1,82
20-08-22_15-42-01,64,10.0,64,0,0,197
14-05-22_20-52-14,35,10.0,36,0,0,104
29-07-22_14-19-31,149,10.0,149,0,0,473
11-05-22_18-00-31,11,9.99,11,0,0,32
17-05-22_17-02-09,16,10.0,16,0,0,47
27-07-22_20-39-48,109,10.0,110,0,0,344
31-07-22_18-21-03,29,10.0,30,0,0,90
24-06-22_23-28-05,21,10.0,21,0,0,66
29-06-22_17-18-58,59,10.0,59,0,0,184
20-08-22_19-13-01,85,10.0,85,0,0,252
29-06-22_12-37-30,98,10.0,98,0,0,287
19-08-22_19-39-41,4,10.0,5,0,0,13
30-07-22_14-23-04,64,10.0,65,0,0,190
26-06-22_17-08-51,63,10.0,64,0,0,186
21-06-22_19-23-03,3,6.33,6,2,2,10
23-06-22_23-53-10,34,10.0,34,0,0,100
28-07-22_13-30-22,67,10.0,67,0,0,202
13-05-22_21-26-18,39,10.0,39,0,0,108
31-07-22_16-43-21,16,9.35,17,1,1,47
29-07-22_18-01-04,60,10.0,60,0,0,174
20-07-22_21-25-03,4,10.0,5,0,0,13
04-08-22_13-54-39,112,10.0,112,0,0,341
21-07-22_18-27-27,49,10.0,49,0,0,145
28-07-22_12-26-54,63,10.0,63,0,0,178
20-08-22_16-45-39,65,10.0,66,0,0,182
30-07-22_19-40-32,63,10.0,63,0,0,172
21-05-22_12-29-03,68,10.0,69,0,0,194
30-07-22_20-43-29,64,10.0,65,0,0,177
29-07-22_11-38-12,82,10.0,83,0,0,240
30-07-22_12-12-10,2,-0.66,64,62,62,130
30-07-22_12-12-10,63,9.83,64,1,1,242
24-06-22_23-56-47,13,10.0,13,0,0,47
19-05-22_19-32-43,127,9.98,127,1,0,479
28-06-22_12-41-55,8,10.0,8,0,0,30
20-06-22_22-18-30,0,9.97,1,0,0,2
28-07-22_16-28-54,62,10.0,63,0,0,245
06-08-22_11-40-28,109,9.98,110,1,0,429
30-07-22_15-27-36,30,10.0,30,0,0,117
01-08-22_19-04-58,31,9.92,31,4,0,118
24-06-22_19-00-57,82,10.0,83,0,0,330
30-07-22_17-55-03,64,10.0,65,0,0,258
29-07-22_19-00-43,29,10.0,30,0,0,113
24-06-22_21-22-41,114,10.0,115,0,0,462
31-07-22_15-41-45,61,10.0,61,0,0,257
29-07-22_19-31-35,21,10.0,21,0,0,87
14-05-22_21-28-10,3,10.0,3,0,0,11
21-06-22_22-30-13,0,10.0,1,0,0,1
28-07-22_17-31-28,59,10.0,60,0,0,227
15-05-22_17-56-47,64,10.0,65,0,0,247
23-06-22_19-43-49,156,10.0,157,0,0,612
20-07-22_20-05-34,55,10.0,55,0,0,220
19-05-22_14-22-39,18,10.0,18,0,0,71
29-07-22_21-02-27,35,10.0,35,0,0,139
21-06-22_21-02-12,0,9.67,1,1,0,0
28-06-22_13-57-07,44,10.0,45,0,0,181
29-06-22_15-17-14,117,10.0,117,0,0,484
01-08-22_09-23-48,18,9.99,19,0,0,69
04-08-22_10-53-54,20,10.0,21,0,0,75
