,avg_frame_rate,lowest_frame_rate,num_of_rows_fps_below_10,duration_min
20-08-22_15-42-01,10.0,10.0,0.0,63.57
28-06-22_17-38-08,9.999931972789115,9.99,0.0,146.45
29-07-22_18-01-04,10.0,10.0,0.0,59.56
30-07-22_12-12-10,10.020781249999999,9.99,0.0,62.99
21-05-22_00-09-27,10.0,10.0,0.0,120.71
01-08-22_12-38-37,9.588985507246377,5.5,17.0,68.82
20-08-22_14-21-31,10.000000000000002,9.99,0.0,11.01
31-07-22_18-21-03,10.000333333333334,10.0,0.0,29.07
28-07-22_13-30-22,10.0,10.0,0.0,66.87
20-05-22_21-41-16,9.999576271186442,9.95,0.0,117.22
24-06-22_19-00-57,9.999879518072289,9.99,0.0,82.27
31-07-22_16-43-21,9.411176470588236,0.0,1.0,15.81
29-07-22_11-38-12,10.000602409638553,10.0,0.0,82.01
22-06-22_20-24-38,10.0,10.0,0.0,78.69
23-06-22_19-43-49,9.998343949044585,9.99,0.0,156.16
21-07-22_17-04-29,10.0,10.0,0.0,82.86
02-08-22_18-00-46,9.62962962962963,0.0,1.0,25.79
20-06-22_22-18-30,9.97,9.97,0.0,0.45
30-07-22_18-59-13,10.0,10.0,0.0,34.94
11-05-22_17-57-44,9.99,9.99,0.0,1.62
17-05-22_17-24-35,10.000217391304348,10.0,0.0,45.11
05-08-22_12-24-16,10.000483870967741,10.0,0.0,61.14
03-08-22_11-33-03,10.0,10.0,0.0,28.8
21-06-22_21-02-12,9.67,9.67,1.0,0.05
20-05-22_17-10-08,10.0,10.0,0.0,47.54
19-05-22_10-13-16,9.998750000000001,9.98,0.0,15.21
24-06-22_23-56-47,10.0,10.0,0.0,12.68
01-08-22_11-01-10,9.564027777777778,1.96,7.0,71.7
11-05-22_18-12-13,9.184193548387098,0.0,7.0,55.95
21-05-22_13-56-29,9.998695652173913,9.95,0.0,91.24
30-07-22_17-00-36,10.000322580645161,10.0,0.0,30.03
01-08-22_20-20-52,7.669814814814815,0.0,14.0,41.87
31-07-22_19-12-07,9.999894736842105,9.99,0.0,94.99
29-07-22_19-31-35,10.0,10.0,0.0,20.86
04-08-22_10-53-54,10.0,10.0,0.0,20.24
29-06-22_17-18-58,9.999830508474576,9.99,0.0,58.57
20-08-22_16-45-39,10.0,10.0,0.0,65.12
20-07-22_19-36-48,10.0,10.0,0.0,9.97
21-05-22_12-29-03,9.999710144927537,9.99,0.0,68.34
01-08-22_09-23-48,9.993157894736843,9.87,0.0,18.13
28-07-22_12-26-54,10.0,10.0,0.0,62.83
20-05-22_18-38-12,9.99972602739726,9.96,0.0,145.76
20-06-22_23-44-19,9.615576923076922,0.0,3.0,49.44
20-07-22_21-25-03,10.0,10.0,0.0,4.47
14-05-22_20-52-14,9.999722222222223,9.99,0.0,35.49
29-07-22_21-02-27,9.999428571428572,9.99,0.0,34.9
04-08-22_13-54-39,10.0,9.99,0.0,111.86
17-05-22_17-02-09,10.001249999999999,10.0,0.0,15.69
11-05-22_21-08-01,9.82065573770492,0.0,2.0,59.52
20-08-22_19-13-01,10.0,9.99,0.0,84.98
29-07-22_13-01-53,9.99974358974359,9.99,0.0,77.58
28-07-22_19-45-39,10.0,10.0,0.0,52.73
17-05-22_13-46-30,10.0,10.0,0.0,30.59
28-06-22_15-07-47,0.0,0.0,1.0,0.0
28-07-22_16-28-54,10.0,10.0,0.0,62.45
21-06-22_22-30-13,10.0,10.0,0.0,0.27
13-05-22_21-26-18,9.99974358974359,9.98,0.0,38.54
27-07-22_20-24-07,10.0,10.0,0.0,4.54
23-06-22_23-53-10,10.0,10.0,0.0,33.78
27-07-22_20-39-48,10.000363636363636,9.94,0.0,109.0
20-08-22_14-38-27,9.99984375,9.99,0.0,63.45
18-08-22_17-39-36,9.84375,0.0,1.0,62.36
28-06-22_13-57-07,10.0,10.0,0.0,44.18
20-06-22_22-31-04,9.963833333333334,7.61,1.0,59.99
19-08-22_19-44-25,10.0,10.0,0.0,2.0
29-07-22_19-00-43,10.0,10.0,0.0,29.24
29-06-22_18-22-34,9.99717391304348,9.89,0.0,45.84
20-07-22_21-00-35,10.0,10.0,0.0,24.24
14-05-22_18-47-48,9.796326530612244,0.0,1.0,47.07
28-06-22_17-06-53,10.000344827586206,10.0,0.0,28.02
20-07-22_20-05-34,10.0,10.0,0.0,54.96
30-07-22_16-05-44,10.0,10.0,0.0,32.04
19-08-22_19-39-41,10.0,10.0,0.0,4.23
20-08-22_17-50-57,10.0,10.0,0.0,62.24
29-07-22_14-19-31,10.0,10.0,0.0,148.67
20-07-22_18-08-23,9.87829268292683,0.0,1.0,80.99
14-05-22_21-28-10,9.996666666666668,9.99,0.0,2.97
15-05-22_17-56-47,9.999692307692309,9.98,0.0,64.36
24-06-22_21-22-41,9.999565217391305,9.97,0.0,114.1
20-07-22_16-53-09,10.0,10.0,0.0,45.79
21-07-22_18-27-27,10.0,10.0,0.0,48.9
28-07-22_11-16-26,10.0,10.0,0.0,6.59
21-06-22_19-37-39,10.000705882352941,9.97,0.0,84.36
15-05-22_19-01-19,9.786808510638298,0.0,1.0,44.19
19-05-22_14-22-39,10.00111111111111,10.0,0.0,17.73
26-06-22_17-08-51,9.99921875,9.97,0.0,63.45
14-05-22_19-57-37,9.999636363636364,9.99,0.0,54.55
19-05-22_17-17-32,10.0,10.0,0.0,108.6
21-06-22_23-38-34,2.1052631578947367,0.0,15.0,2.58
06-08-22_14-56-07,10.0,10.0,0.0,170.68
23-06-22_22-38-28,10.0,10.0,0.0,72.66
24-06-22_23-28-05,9.998095238095239,9.96,0.0,20.93
30-07-22_14-23-04,10.0,10.0,0.0,64.46
15-05-22_21-24-28,10.0,9.99,0.0,72.88
24-06-22_23-17-11,10.0,10.0,0.0,4.56
29-07-22_19-58-21,10.0,10.0,0.0,49.2
28-06-22_12-41-55,10.0,10.0,0.0,7.86
01-08-22_09-55-56,10.000151515151515,10.0,0.0,65.11
18-05-22_08-49-34,10.00037037037037,9.98,0.0,80.15
01-08-22_19-04-58,9.924193548387096,8.99,4.0,30.59
04-08-22_18-14-39,10.0,10.0,0.0,8.78
28-07-22_11-24-22,10.0,10.0,0.0,61.44
04-08-22_13-12-32,10.0,10.0,0.0,23.08
29-07-22_16-48-16,10.0,10.0,0.0,72.65
30-07-22_15-27-36,10.0,10.0,0.0,29.67
21-05-22_15-31-56,9.999069767441862,9.96,0.0,171.85
31-07-22_17-09-50,10.0,9.99,0.0,71.16
30-07-22_20-43-29,10.000153846153847,10.0,0.0,64.45
29-06-22_12-37-30,9.999591836734695,9.99,0.0,97.79
