
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
14-05-22_21-28-10,3,2.96,10.0,3,0,4,108,200,130,199,200,100
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
14-05-22_21-28-10,3,2.96,10.0,3,0,4,108,200,130,199,200,100
15-05-22_17-56-47,64,64.38,10.0,65,0,102,99,99,99,99,99,99
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
14-05-22_21-28-10,3,2.96,10.0,3,0,4,108,200,130,199,200,100
15-05-22_17-56-47,64,64.38,10.0,65,0,102,99,99,99,99,99,99
20-07-22_20-05-34,55,54.95,10.0,55,0,81,100,100,100,100,100,100
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
14-05-22_21-28-10,3,2.96,10.0,3,0,4,108,200,130,199,200,100
15-05-22_17-56-47,64,64.38,10.0,65,0,102,99,99,99,99,99,99
20-07-22_20-05-34,55,54.95,10.0,55,0,81,100,100,100,100,100,100
19-05-22_14-22-39,18,17.73,10.0,18,0,27,99,99,99,99,99,100
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
14-05-22_21-28-10,3,2.96,10.0,3,0,4,108,200,130,199,200,100
15-05-22_17-56-47,64,64.38,10.0,65,0,102,99,99,99,99,99,99
20-07-22_20-05-34,55,54.95,10.0,55,0,81,100,100,100,100,100,100
19-05-22_14-22-39,18,17.73,10.0,18,0,27,99,99,99,99,99,100
01-08-22_09-23-48,18,18.13,9.99,19,0,28,100,100,100,100,100,100
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
14-05-22_21-28-10,3,2.96,10.0,3,0,4,108,200,130,199,200,100
15-05-22_17-56-47,64,64.38,10.0,65,0,102,99,99,99,99,99,99
20-07-22_20-05-34,55,54.95,10.0,55,0,81,100,100,100,100,100,100
19-05-22_14-22-39,18,17.73,10.0,18,0,27,99,99,99,99,99,100
01-08-22_09-23-48,18,18.13,9.99,19,0,28,100,100,100,100,100,100
04-08-22_10-53-54,20,20.24,10.0,21,0,30,99,99,99,99,99,100
19-05-22_19-32-43,127,124.26,9.98,127,1,187,104,106,102,106,106,102
20-06-22_22-31-04,60,56.78,9.96,60,1,94,110,113,110,113,115,105
20-06-22_22-18-30,0,0.44,9.97,1,0,1,99,100,100,100,100,99
06-08-22_11-40-28,109,109.2,9.98,110,1,161,99,99,99,99,99,99
01-08-22_19-04-58,31,30.59,9.92,31,4,47,99,99,99,99,99,99
14-05-22_21-28-10,3,2.96,10.0,3,0,4,108,200,130,199,200,100
15-05-22_17-56-47,64,64.38,10.0,65,0,102,99,99,99,99,99,99
20-07-22_20-05-34,55,54.95,10.0,55,0,81,100,100,100,100,100,100
19-05-22_14-22-39,18,17.73,10.0,18,0,27,99,99,99,99,99,100
